,['n. \xe5\x88\x86\xe8\xa7\xa3\xef\xbc\x9b\xe7\xbb\x86\xe7\x9b\xae\xe5\x88\x86\xe7\xb1\xbb']
be reserved to,['\xe8\xaf\x8d\xe7\xbb\x84 \xe7\x95\x99\xe4\xbd\x9c\xe2\x80\xa6\xe5\x8f\xaa\xe7\x94\xa8']
sensible,['adj. \xe6\x98\x8e\xe6\x99\xba\xe7\x9a\x84\xef\xbc\x8c\xe5\x90\x88\xe7\x90\x86\xe7\x9a\x84']
caricature,['n. \xe8\xae\xbd\xe5\x88\xba\xe7\x94\xbb']
fertilized egg,['\xe8\xaf\x8d\xe7\xbb\x84 \xe5\x8f\x97\xe7\xb2\xbe\xe5\x8d\xb5']
indiscrimination,['n. \xe6\xad\xa7\xe8\xa7\x86']
capable,['adj. \xe6\x9c\x89\xe8\x83\xbd\xe5\x8a\x9b\xe7\x9a\x84']
stretch,['v. \xe4\xbc\xb8\xe5\xb1\x95\xef\xbc\x8c\xe4\xbc\xb8\xe9\x95\xbf']
optional,['adj. \xe5\x8f\xaf\xe8\x87\xaa\xe7\x94\xb1\xe9\x80\x89\xe6\x8b\xa9\xe7\x9a\x84']
locally,['adv. \xe5\x9c\xa8\xe5\x9c\xb0\xe6\x96\xb9\xe4\xb8\x8a\xef\xbc\x8c\xe5\x9c\xa8\xe5\xbd\x93\xe5\x9c\xb0']
informed,['adj. \xe5\x8f\x97\xe8\xbf\x87\xe6\x95\x99\xe8\x82\xb2\xe7\x9a\x84\xef\xbc\x8c\xe8\xa7\x81\xe5\xa4\x9a\xe8\xaf\x86\xe5\xb9\xbf\xe7\x9a\x84']
markedly,['adv. \xe6\x98\xbe\xe8\x91\x97\xe5\x9c\xb0\xef\xbc\x8c\xe6\x98\x8e\xe6\x98\xbe\xe5\x9c\xb0']
concede,['v. \xe6\x89\xbf\xe8\xae\xa4']
breath,['n. \xe5\x91\xbc\xe5\x90\xb8\xef\xbc\x8c\xe6\xb0\x94\xe6\x81\xaf']
termite,['n. \xe7\x99\xbd\xe8\x9a\x81']
dependable,['adj. \xe5\x8f\xaf\xe9\x9d\xa0\xe7\x9a\x84\xef\xbc\x8c\xe5\x8f\xaf\xe4\xbf\xa1\xe8\xb5\x96\xe7\x9a\x84']
unbridgeable,"['adj. \xe4\xb8\x8d\xe8\x83\xbd\xe6\x9e\xb6\xe6\xa1\xa5\xe7\x9a\x84, \xe4\xb8\x8d\xe8\x83\xbd\xe9\x80\xbe\xe8\xb6\x8a\xe7\x9a\x84']"
rancher,['n. \xe5\xa4\xa7\xe5\x86\x9c\xe5\x9c\xba\xe7\xbb\x8f\xe8\x90\xa5\xe8\x80\x85\xef\xbc\x9b\xe7\x89\xa7\xe5\x9c\xba\xe5\xb7\xa5\xe4\xba\xba']
brawling,['n. \xe4\xba\x89\xe5\x90\xb5\xef\xbc\x8c\xe5\x96\xa7\xe5\x9a\xb7']
prototype,['n. \xe5\x8e\x9f\xe5\x9e\x8b']
patriarchal,['adj. \xe5\xae\xb6\xe9\x95\xbf\xe7\x9a\x84\xef\xbc\x8c\xe6\x97\x8f\xe9\x95\xbf\xe7\x9a\x84']
educated,['adj. \xe5\x8f\x97\xe8\xbf\x87\xe6\x95\x99\xe8\x82\xb2\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\x89\xe6\x95\x99\xe5\x85\xbb\xe7\x9a\x84']
spare,['adj. \xe5\xa4\x9a\xe4\xbd\x99\xe7\x9a\x84\xef\xbc\x8c\xe5\xa4\x87\xe7\x94\xa8\xe7\x9a\x84']
tasteless,['adj. \xe6\xb2\xa1\xe5\x91\xb3\xe9\x81\x93\xe7\x9a\x84']
supervisor,['n. \xe4\xb8\xbb\xe7\xae\xa1\xef\xbc\x8c\xe7\xae\xa1\xe7\x90\x86\xe4\xba\xba']
pesticide,['n. \xe6\x9d\x80\xe8\x99\xab\xe5\x89\x82']
blessing,['n. \xe7\xa5\x9d\xe7\xa6\x8f\xef\xbc\x8c\xe6\x81\xa9\xe8\xb5\x90']
squash,['n. \xe5\x8d\x97\xe7\x93\x9c']
haunt,['vt. \xef\xbc\x88\xe6\x80\x9d\xe6\x83\xb3\xe3\x80\x81\xe5\x9b\x9e\xe5\xbf\x86\xe7\xad\x89\xef\xbc\x89\xe8\x90\xa6\xe7\xbb\x95\xe5\xbf\x83\xe5\xa4\xb4']
sort,['n./v. \xe7\xa7\x8d\xe7\xb1\xbb\xef\xbc\x8c\xe5\x88\x86\xe7\xb1\xbb']
acupuncture,['n. \xe9\x92\x88\xe5\x88\xba\xef\xbc\x9b\xe9\x92\x88\xe7\x81\xb8']
dramatic,['adj. \xe6\x88\x8f\xe5\x89\xa7\xe6\x80\xa7\xe7\x9a\x84\xef\xbc\x9b\xe5\xbc\x95\xe4\xba\xba\xe6\xb3\xa8\xe7\x9b\xae\xe7\x9a\x84']
external,['adj. \xe5\xa4\x96\xe9\x83\xa8\xe7\x9a\x84']
declaration,['n. \xe5\xae\xa3\xe5\xb8\x83\xef\xbc\x8c\xe5\xae\xa3\xe8\xa8\x80']
foggy,"['adj. \xe9\x9b\xbe\xe6\xb7\xb1\xe7\x9a\x84, \xe6\xa8\xa1\xe7\xb3\x8a\xe7\x9a\x84']"
masonry,['n. \xe7\x9f\xb3\xe5\xb7\xa5\xe6\x9c\xaf\xef\xbc\x9b\xe7\x9f\xb3\xe5\x8c\xa0\xe8\x81\x8c\xe4\xb8\x9a']
be composed ,['\xe8\xaf\x8d\xe7\xbb\x84 \xe7\x94\xb1\xe2\x80\xa6\xe7\xbb\x84\xe6\x88\x90']
irrelevant,['adj. \xe4\xb8\x8d\xe7\x9b\xb8\xe5\x85\xb3\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\x8d\xe5\x88\x87\xe9\xa2\x98\xe7\x9a\x84']
diffuse,['v. \xe6\x89\xa9\xe6\x95\xa3\xef\xbc\x9b\xe6\x95\xa3\xe6\x92\xad']
captivity,['n. \xe5\x9b\x9a\xe7\xa6\x81\xef\xbc\x8c\xe6\x8b\x98\xe7\x95\x99']
countless,['adj. \xe6\x97\xa0\xe6\x95\xb0\xe7\x9a\x84']
shaft,['n. \xe6\x9d\x86\xe7\x8a\xb6\xe7\x89\xa9\xef\xbc\x8c\xe8\xbd\xb4']
prehistoric,['adj. \xe5\x8f\xb2\xe5\x89\x8d\xe7\x9a\x84']
epidermis,['n. \xe8\xa1\xa8\xe7\x9a\xae']
amend,['vt. \xe6\x94\xb9\xe6\xad\xa3\xef\xbc\x8c\xe4\xbf\xae\xe6\xad\xa3']
consultant,['n. \xe9\xa1\xbe\xe9\x97\xae\xef\xbc\x8c\xe5\x92\xa8\xe8\xaf\xa2\xe8\x80\x85']
tribal,['adj. \xe9\x83\xa8\xe8\x90\xbd\xe7\x9a\x84\xef\xbc\x8c\xe5\xae\x97\xe6\x97\x8f\xe7\x9a\x84']
accommodating,['adj. \xe4\xb9\x90\xe4\xba\x8e\xe5\x8a\xa9\xe4\xba\xba\xe7\x9a\x84']
prominence,['n. \xe6\x98\xbe\xe8\x91\x97\xef\xbc\x8c\xe7\xaa\x81\xe5\x87\xba']
perfection,['n. \xe5\xb0\xbd\xe5\x96\x84\xe5\xb0\xbd\xe7\xbe\x8e\xef\xbc\x8c\xe5\xae\x8c\xe7\xbe\x8e']
deformation,['n. \xe5\x8f\x98\xe5\xbd\xa2']
compile,['vt. \xe6\xb1\x87\xe9\x9b\x86\xef\xbc\x8c\xe7\xbc\x96\xe8\xbe\x91']
cast,['vt. \xe6\xb5\x87\xe9\x93\xb8']
tragedy,['n. [\xe6\x88\x8f\xe5\x89\xa7]\xe6\x82\xb2\xe6\x83\xa8\xef\xbc\x9b\xe6\x82\xb2\xe6\x83\xa8\xe4\xb9\x8b\xe4\xba\x8b']
ongoing,['adj. \xe6\xad\xa3\xe5\x9c\xa8\xe8\xbf\x9b\xe8\xa1\x8c\xe7\x9a\x84']
promising,['adj. \xe6\x9c\x89\xe5\x89\x8d\xe9\x80\x94\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\x89\xe5\xb8\x8c\xe6\x9c\x9b\xe7\x9a\x84']
graze,['v. \xe6\x94\xbe\xe7\x89\xa7\xef\xbc\x8c\xe5\x90\x83\xe8\x8d\x89']
subsist,['vi. \xe7\x94\x9f\xe5\xad\x98\xef\xbc\x8c\xe5\xad\x98\xe5\x9c\xa8\xef\xbc\x8c\xe4\xbe\x9b\xe5\x85\xbb']
landslide,['n. [\xe5\x9c\xb0]\xe5\xb1\xb1\xe5\xb4\xa9']
margin,['n. \xe8\xbe\xb9\xe7\xbc\x98\xef\xbc\x9b\xe4\xbd\x99\xe5\x9c\xb0']
interconnected,['adj. \xe7\x9b\xb8\xe4\xba\x92\xe8\xbf\x9e\xe6\x8e\xa5\xe7\x9a\x84']
tardy,['adj. \xe8\xbf\x9f\xe5\x88\xb0\xe7\x9a\x84\xef\xbc\x9b\xe7\xbc\x93\xe6\x85\xa2\xe7\x9a\x84']
perpetuate,['vt. \xe4\xbd\xbf\xe2\x80\xa6\xe5\xbb\xb6\xe7\xbb\xad\xef\xbc\x8c\xe4\xbd\xbf\xe6\xb0\xb8\xe5\xad\x98']
trove,['n. \xe8\xa2\xab\xe5\x8f\x91\xe7\x8e\xb0\xe7\x9a\x84\xe4\xb8\x9c\xe8\xa5\xbf\xef\xbc\x8c\xe6\x94\xb6\xe8\x97\x8f\xe7\x9a\x84\xe4\xb8\x9c\xe8\xa5\xbf']
riot,['n. \xe6\x9a\xb4\xe5\x8a\xa8\xef\xbc\x8c\xe9\xaa\x9a\xe4\xb9\xb1']
orientation,['n. \xe5\xae\x9a\xe5\x90\x91\xef\xbc\x9b\xe4\xbb\x8b\xe7\xbb\x8d\xe6\x80\xa7\xe6\x8c\x87\xe5\xaf\xbc']
zenith,['n. \xe9\xa1\xb6\xe7\x82\xb9\xef\xbc\x8c\xe9\xa1\xb6\xe5\xb3\xb0']
ethically,['adv. \xe5\x9c\xa8\xe4\xbc\xa6\xe7\x90\x86\xe4\xb8\x8a\xef\xbc\x8c\xe9\x81\x93\xe5\xbe\xb7\xe4\xb8\x8a']
subtractive,['adj. \xe5\x87\x8f\xe6\xb3\x95\xe7\x9a\x84\xef\xbc\x9b\xe8\xb4\x9f\xe7\x9a\x84']
commander,['n. \xe5\x8f\xb8\xe4\xbb\xa4\xe5\xae\x98\xef\xbc\x8c\xe6\x8c\x87\xe6\x8c\xa5\xe5\x91\x98']
cluster,['n. \xe7\xb0\x87\xef\xbc\x8c\xe4\xb8\xb2\xef\xbc\x8c\xe7\xbe\xa4']
bias,['n. \xe5\x81\x8f\xe8\xa7\x81\xef\xbc\x8c\xe5\x81\x8f\xe5\xa5\xbd']
embrace,['vt. \xe5\x8c\x85\xe5\x90\xab']
millionaire,['n. \xe7\x99\xbe\xe4\xb8\x87\xe5\xaf\x8c\xe7\xbf\x81']
vowel,['n. \xe5\x85\x83\xe9\x9f\xb3']
graceful,['adj. \xe4\xbc\x98\xe9\x9b\x85\xe7\x9a\x84']
ironic,['adj. \xe8\xae\xbd\xe5\x88\xba\xe7\x9a\x84']
scavenger,['n. \xe6\xb8\x85\xe9\x81\x93\xe5\xa4\xab\xef\xbc\x8c\xe9\xa3\x9f\xe8\x85\x90\xe5\x8a\xa8\xe7\x89\xa9']
protein,['n. \xe8\x9b\x8b\xe7\x99\xbd\xe8\xb4\xa8']
property,['n. \xe8\xb4\xa2\xe4\xba\xa7\xef\xbc\x8c\xe6\x89\x80\xe6\x9c\x89\xe7\x89\xa9\xef\xbc\x9b\xe6\x80\xa7\xe8\xb4\xa8\xef\xbc\x8c\xe7\x89\xb9\xe6\x80\xa7\xef\xbc\x9b\xef\xbc\x88\xe5\xb0\x8f\xef\xbc\x89\xe9\x81\x93\xe5\x85\xb7[pl]']
demolition,['n. \xe7\xa0\xb4\xe5\x9d\x8f\xef\xbc\x8c\xe6\x8b\x86\xe9\x99\xa4']
resentful,['adj. \xe5\xbf\xbf\xe6\x81\xa8\xe7\x9a\x84\xef\xbc\x8c\xe6\x80\xa8\xe6\x81\xa8\xe7\x9a\x84']
participant,['n. \xe5\x8f\x82\xe4\xb8\x8e\xe8\x80\x85\xef\xbc\x8c\xe5\x8f\x82\xe8\xb5\x9b\xe8\x80\x85']
harsh,['adj. \xe7\xb2\x97\xe7\xb3\x99\xe7\x9a\x84\xef\xbc\x9b\xe5\x88\xba\xe8\x80\xb3\xe7\x9a\x84\xef\xbc\x8c\xe5\x88\xbb\xe8\x96\x84\xe7\x9a\x84']
vacation,['n. \xe5\xba\xa6\xe5\x81\x87\xef\xbc\x8c\xe4\xbc\x91\xe5\x81\x87']
media,['n. \xe5\xaa\x92\xe4\xbd\x93']
fender,['n. \xe9\x98\xb2\xe5\x8d\xab\xe7\x89\xa9\xef\xbc\x9b\xe6\x8c\xa1\xe6\xb3\xa5\xe6\x9d\xbf']
eggshell,['n. \xe8\x9b\x8b\xe5\xa3\xb3']
bowl,['n. \xe7\xa2\x97\xef\xbc\x8c\xe7\xa2\x97\xe7\x8a\xb6\xe7\x89\xa9']
lava,['n. \xe7\x86\x94\xe5\xb2\xa9\xef\xbc\x8c\xe5\xb2\xa9\xe6\xb5\x86']
epoch,['n. \xe6\x96\xb0\xe7\xba\xaa\xe5\x85\x83\xef\xbc\x8c\xe6\x97\xb6\xe4\xbb\xa3']
inquiry,['n. \xe8\xb4\xa8\xe9\x97\xae\xef\xbc\x9b\xe8\xb0\x83\xe6\x9f\xa5']
underestimate,['v. \xe4\xbd\x8e\xe4\xbc\xb0']
deference,['n. \xe5\xb0\x8a\xe9\x87\x8d\xef\xbc\x8c\xe9\xa1\xba\xe4\xbb\x8e\xef\xbc\x9b\xe6\x95\xac\xe6\x84\x8f']
reminder,['n. \xe6\x8f\x90\xe9\x86\x92\xe8\x80\x85']
document,['vt. \xe8\xaf\x81\xe6\x98\x8e\xef\xbc\x9b\xe6\x96\x87\xe4\xbb\xb6\xe8\xae\xb0\xe5\xbd\x95']
inoffensive,"['adj. \xe6\x97\xa0\xe5\xae\xb3\xe7\x9a\x84,\xe4\xb8\x8d\xe8\xa7\xa6\xe7\x8a\xaf\xe4\xba\xba\xe7\x9a\x84,\xe8\xae\xa9\xe4\xba\xba\xe4\xb8\x8d\xe8\xae\xa8\xe5\x8e\x8c\xe7\x9a\x84']"
disappointment,['n. \xe5\xa4\xb1\xe6\x9c\x9b']
status,['n. \xe7\x8a\xb6\xe5\x86\xb5\xef\xbc\x9b\xe8\xba\xab\xe4\xbb\xbd\xef\xbc\x8c\xe5\x9c\xb0\xe4\xbd\x8d']
exhaust,['n. \xe6\x8e\x92\xe6\xb0\x94\xef\xbc\x8c\xe6\x8e\x92\xe6\xb0\x94\xe8\xa3\x85\xe7\xbd\xae']
extended,['adj. \xe5\xbb\xb6\xe9\x95\xbf\xe7\x9a\x84\xef\xbc\x8c\xe6\x89\xa9\xe5\xa4\xa7\xe7\x9a\x84']
deft,['adj. \xe7\x81\xb5\xe5\xb7\xa7\xe7\x9a\x84\xef\xbc\x8c\xe7\x86\x9f\xe7\xbb\x83\xe7\x9a\x84']
applaud,['vi. \xe5\x96\x9d\xe5\xbd\xa9\xef\xbc\x8c\xe6\xac\xa2\xe5\x91\xbc']
assist,['vt. \xe6\x8f\xb4\xe5\x8a\xa9\xef\xbc\x8c\xe5\xb8\xae\xe5\x8a\xa9']
radically,['adv. \xe6\xa0\xb9\xe6\x9c\xac\xe4\xb8\x8a']
companion,['n. \xe5\x90\x8c\xe4\xbc\xb4\xef\xbc\x8c\xe5\x90\x8c\xe4\xba\x8b']
devoid,['adj. \xe5\x85\xa8\xe6\x97\xa0\xe7\x9a\x84\xef\xbc\x8c\xe7\xbc\xba\xe4\xb9\x8f\xe7\x9a\x84']
diversion,['n. \xe6\xb6\x88\xe9\x81\xa3\xef\xbc\x8c\xe5\xa8\xb1\xe4\xb9\x90']
barber,['n. \xe7\x90\x86\xe5\x8f\x91\xe5\xb8\x88']
delicate,['adj. \xe8\x84\x86\xe7\x9a\x84\xef\xbc\x8c\xe6\x98\x93\xe6\x8d\x9f\xe7\x9a\x84\xef\xbc\x9b\xe5\xa8\x87\xe5\xbc\xb1\xe7\x9a\x84']
statue,['n. \xe9\x9b\x95\xe5\x83\x8f']
delirium,['n. \xe7\xb2\xbe\xe7\xa5\x9e\xe9\x94\x99\xe4\xb9\xb1\xef\xbc\x8c\xe5\x8f\x91\xe7\x8b\x82']
entanglement,['n. \xe7\xba\xa0\xe7\xbc\xa0\xef\xbc\x8c\xe7\xbc\xa0\xe7\xbb\x95\xe7\x89\xa9']
validate,['vt. \xe4\xbd\xbf\xe7\x94\x9f\xe6\x95\x88\xef\xbc\x8c\xe7\xa1\xae\xe8\xae\xa4\xef\xbc\x8c\xe8\xaf\x81\xe5\xae\x9e']
nonprofessional,['adj./n. \xe9\x9d\x9e\xe4\xb8\x93\xe4\xb8\x9a\xe7\x9a\x84(\xe4\xba\xba\xe5\x91\x98)\xef\xbc\x9b\xe6\x97\xa0\xe4\xb8\x93\xe9\x95\xbf\xe7\x9a\x84(\xe4\xba\xba\xe5\x91\x98)']
foghorn,['n. \xe9\x9b\xbe\xe5\x8f\xb7\xef\xbc\x88\xe6\xb5\x93\xe9\x9b\xbe\xe4\xbf\xa1\xe5\x8f\xb7\xef\xbc\x89']
swallow,['v. \xe5\x90\x9e\xe4\xb8\x8b\xef\xbc\x8c\xe5\x92\xbd\xe4\xb8\x8b']
renewable,['adj. \xe5\x8f\xaf\xe6\x9b\xb4\xe6\x96\xb0\xe7\x9a\x84\xef\xbc\x8c\xe5\x8f\xaf\xe6\x81\xa2\xe5\xa4\x8d\xe7\x9a\x84']
by-product,['n. \xe5\x89\xaf\xe4\xba\xa7\xe5\x93\x81']
drain,['v. \xef\xbc\x88\xe4\xbd\xbf\xef\xbc\x89\xe6\xb5\x81\xe8\xb5\xb0\xef\xbc\x8c\xef\xbc\x88\xe4\xbd\xbf\xef\xbc\x89\xe6\x8e\x92\xe5\x85\x89']
varied,['adj. \xe6\x9d\x82\xe8\x89\xb2\xe7\x9a\x84\xef\xbc\x8c\xe5\x90\x84\xe5\xbc\x8f\xe5\x90\x84\xe6\xa0\xb7\xe7\x9a\x84']
furious,['adj. \xe7\x8b\x82\xe6\x80\x92\xe7\x9a\x84\xef\xbc\x9b\xe7\x8b\x82\xe6\x9a\xb4\xe7\x9a\x84']
driftwood,['n. \xe6\xb5\x81\xe6\x9c\xa8\xef\xbc\x8c\xe6\xb5\xae\xe6\x9c\xa8']
minimize,['v. \xe6\x9c\x80\xe5\xb0\x8f\xe5\x8c\x96\xef\xbc\x8c\xe5\x87\x8f\xe5\x88\xb0\xe6\x9c\x80\xe5\xb0\x8f']
utterance,['n. \xe8\xaf\xb4\xe8\xaf\x9d\xef\xbc\x8c\xe8\xaf\xb4\xe8\xaf\x9d\xe7\x9a\x84\xe6\x96\xb9\xe5\xbc\x8f']
delectable,['adj. \xe7\xbe\x8e\xe5\x91\xb3\xe7\x9a\x84']
constitutional,['adj. \xe5\xae\xaa\xe6\xb3\x95\xe7\x9a\x84\xef\xbc\x9b\xe7\xab\xa0\xe7\xa8\x8b\xe7\x9a\x84']
caterpillar,['n. \xe6\xaf\x9b\xe8\x99\xab']
restrain,['vt. \xe5\x85\x8b\xe5\x88\xb6\xef\xbc\x8c\xe6\x8a\x91\xe5\x88\xb6']
breeze,['n. \xe5\xbe\xae\xe9\xa3\x8e']
soundproof,['vt. \xe4\xbd\xbf\xe9\x9a\x94\xe9\x9f\xb3']
coordinate,['vt. \xe4\xbd\xbf\xe2\x80\xa6\xe5\x8d\x8f\xe8\xb0\x83\xef\xbc\x8c\xe7\x9b\xb8\xe9\x85\x8d\xe5\x90\x88']
termination,['n. \xe7\xbb\x88\xe6\xad\xa2\xef\xbc\x8c\xe7\xbb\x93\xe6\x9d\x9f']
strive,['vi. \xe5\x8a\xaa\xe5\x8a\x9b\xef\xbc\x8c\xe5\xa5\x8b\xe6\x96\x97\xef\xbc\x9b\xe5\x8a\x9b\xe6\xb1\x82']
dimension,['n. \xe5\xb0\xba\xe5\xaf\xb8\xef\xbc\x9b\xe5\xb0\xba\xe5\xba\xa6']
justify,['vt. \xe8\xaf\x81\xe6\x98\x8e\xe2\x80\xa6\xe6\x98\xaf\xe6\xad\xa3\xe5\xbd\x93\xe7\x9a\x84\xe6\x88\x96\xe6\x9c\x89\xe7\x90\x86\xe7\x9a\x84\xef\xbc\x9b\xe4\xb8\xba\xe2\x80\xa6\xe8\xbe\xa9\xe6\x8a\xa4']
of scale,['\xe8\xaf\x8d\xe7\xbb\x84 \xe5\xa4\xa7\xe8\xa7\x84\xe6\xa8\xa1\xe7\x9a\x84']
sun-bronzed,['adj. \xe8\xa2\xab\xe5\xa4\xaa\xe9\x98\xb3\xe6\x99\x92\xe6\x88\x90\xe5\x8f\xa4\xe9\x93\x9c\xe8\x89\xb2\xe7\x9a\x84']
clog,['vt. \xe9\x9a\x9c\xe7\xa2\x8d\xef\xbc\x8c\xe9\x98\xbb\xe5\xa1\x9e']
livestock,['n. \xe5\xae\xb6\xe7\x95\x9c\xef\xbc\x8c\xe7\x89\xb2\xe7\x95\x9c']
violence,['n. \xe6\x9a\xb4\xe5\x8a\x9b\xef\xbc\x8c\xe5\xbc\xba\xe6\x9a\xb4']
thigh,['n. \xe5\xa4\xa7\xe8\x85\xbf']
fume,['n. \xe7\x83\x9f\xef\xbc\x8c\xe6\xb0\x94\xe4\xbd\x93']
in scale,['\xe8\xaf\x8d\xe7\xbb\x84 \xe7\x9b\xb8\xe7\xa7\xb0\xef\xbc\x8c\xe6\x88\x90\xe6\xaf\x94\xe4\xbe\x8b']
neon,['n. [\xe5\x8c\x96]\xe6\xb0\x96\xef\xbc\x9b\xe9\x9c\x93\xe8\x99\xb9\xe7\x81\xaf']
resolution,['n. \xe5\x88\x86\xe8\xbe\xa8\xe7\x8e\x87']
imprint,['n. \xe5\x8d\xb0\xe7\x97\x95\xef\xbc\x8c\xe7\x97\x95\xe8\xbf\xb9\xef\xbc\x9b\xe6\xb7\xb1\xe5\x88\xbb\xe7\x9a\x84\xe5\x8d\xb0\xe8\xb1\xa1']
lavish,['adj. \xe8\xbf\x87\xe5\x88\x86\xe4\xb8\xb0\xe5\xaf\x8c\xe7\x9a\x84\xef\xbc\x9b\xe6\xb5\xaa\xe8\xb4\xb9\xe7\x9a\x84']
dehydration,['n. \xe8\x84\xb1\xe6\xb0\xb4\xef\xbc\x8c\xe5\xb9\xb2\xe7\x87\xa5']
spacious,['adj. \xe5\xb9\xbf\xe5\xa4\xa7\xe7\x9a\x84\xef\xbc\x8c\xe5\xae\xbd\xe6\x95\x9e\xe7\x9a\x84']
cease,['v. \xe5\x81\x9c\xe6\xad\xa2\xef\xbc\x8c\xe7\xbb\x88\xe6\xad\xa2']
disperse,['vt. \xe5\x88\x86\xe6\x95\xa3\xef\xbc\x8c\xe6\x95\xa3\xe5\xbc\x80']
aspect,['n. \xef\xbc\x88\xe9\x97\xae\xe9\xa2\x98\xe7\xad\x89\xef\xbc\x89\xe6\x96\xb9\xe9\x9d\xa2\xef\xbc\x9b\xe6\xa0\xb7\xe5\xad\x90\xef\xbc\x8c\xe5\xa4\x96\xe8\xa1\xa8']
polish,['vt. \xe6\x93\xa6\xe4\xba\xae']
flavor,['n. \xe5\x91\xb3\xef\xbc\x8c\xe9\xa3\x8e\xe5\x91\xb3']
overconfident,['adj. \xe8\xbf\x87\xe4\xba\x8e\xe8\x87\xaa\xe4\xbf\xa1\xe7\x9a\x84\xef\xbc\x8c\xe8\x87\xaa\xe8\xb4\x9f\xe7\x9a\x84']
superior to,['\xe8\xaf\x8d\xe7\xbb\x84 \xe9\xab\x98\xe4\xba\x8e\xef\xbc\x8c\xe4\xbc\x98\xe4\xba\x8e']
plateau,['n. \xe9\xab\x98\xe5\x8e\x9f\xef\xbc\x8c\xe9\xab\x98\xe5\x9c\xb0']
collide,['vi. \xe7\xa2\xb0\xe6\x92\x9e\xef\xbc\x9b\xe5\x86\xb2\xe7\xaa\x81']
insight,['n. \xe6\xb4\x9e\xe5\xaf\x9f\xe5\x8a\x9b\xef\xbc\x8c\xe8\xa7\x81\xe8\xaf\x86']
announcement,['n. \xe5\xae\xa3\xe5\x91\x8a\xef\xbc\x8c\xe5\x8f\x91\xe8\xa1\xa8']
refrigerant,['n. \xe5\x88\xb6\xe5\x86\xb7\xe5\x89\x82']
mingling,['adj. \xe6\xb7\xb7\xe5\x90\x88\xe7\x9a\x84']
standardized,['adj. \xe6\xa0\x87\xe5\x87\x86\xe5\x8c\x96\xe7\x9a\x84']
feminist,['n. \xe5\xa5\xb3\xe6\x9d\x83\xe4\xb8\xbb\xe4\xb9\x89\xe8\x80\x85']
rigid,['adj. \xe5\x9d\x9a\xe7\xa1\xac\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\x8d\xe6\x98\x93\xe5\xbc\xaf\xe6\x9b\xb2\xe7\x9a\x84']
insufficient,['adj. \xe4\xb8\x8d\xe8\xb6\xb3\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\x8d\xe5\xa4\x9f\xe7\x9a\x84']
refurbish,['vt. \xe5\x88\xb7\xe6\x96\xb0\xef\xbc\x8c\xe5\x86\x8d\xe7\xa3\xa8\xe5\x85\x89']
complain,['v. \xe6\x8a\xb1\xe6\x80\xa8\xef\xbc\x9b\xe6\x82\xb2\xe5\x8f\xb9']
allude,['vi. \xe6\x9a\x97\xe6\x8c\x87\xef\xbc\x8c\xe5\xbd\xb1\xe5\xb0\x84\xef\xbc\x8c\xe9\x97\xb4\xe6\x8e\xa5\xe6\x8f\x90\xe5\x88\xb0']
trespasser,['n. \xe4\xbe\xb5\xe7\x8a\xaf\xef\xbc\x88\xe4\xbb\x96\xe4\xba\xba\xe5\x9c\x9f\xe5\x9c\xb0\xef\xbc\x89\xe8\x80\x85']
formative,['adj. \xe5\xbd\xa2\xe6\x88\x90\xe4\xb8\xad\xe7\x9a\x84\xef\xbc\x8c\xe5\x8f\x91\xe5\xb1\x95\xe4\xb8\xad\xe7\x9a\x84']
treatment,['n. \xe5\xbe\x85\xe9\x81\x87\xef\xbc\x8c\xe5\xaf\xb9\xe5\xbe\x85']
eviscerate,['vt. \xe5\x8f\x96\xe5\x87\xba\xe5\x86\x85\xe8\x84\x8f\xef\xbc\x9b\xe9\x99\xa4\xe5\x8e\xbb\xe4\xb8\xbb\xe8\xa6\x81\xe9\x83\xa8\xe5\x88\x86']
extensive,['adj. \xe5\xb9\xbf\xe7\x9a\x84\xef\xbc\x9b\xe5\xa4\x9a\xe6\x96\xb9\xe9\x9d\xa2\xe7\x9a\x84\xef\xbc\x8c\xe5\xb9\xbf\xe6\xb3\x9b\xe7\x9a\x84']
disrupt,['vt. \xe4\xbd\xbf\xe6\xb7\xb7\xe4\xb9\xb1\xef\xbc\x8c\xe4\xbd\xbf\xe4\xb8\xad\xe6\x96\xad']
elaborately,['adv. \xe7\xb2\xbe\xe7\xbb\x86\xe5\x9c\xb0\xef\xbc\x8c\xe8\xaf\xa6\xe5\xb0\xbd\xe5\x9c\xb0']
disproportionate,['adj. \xe4\xb8\x8d\xe6\x88\x90\xe6\xaf\x94\xe4\xbe\x8b\xe7\x9a\x84']
grip,['v. \xe7\xb4\xa7\xe6\x8f\xa1\xef\xbc\x8c\xe7\xb4\xa7\xe6\x8a\x93']
hover,['vi. \xe7\xbf\xb1\xe7\xbf\x94\xef\xbc\x9b\xe5\xbe\x98\xe5\xbe\x8a']
